,address,value
276,lat1w9tzh3h2epf5ynda96fw8vhtun6ut6gn6pat5a,4719.906399252639
277,lat18ruduv47xkhxul3xajrvgz0s0sm4k5m026q0vv,0.28256134329173216
278,lat1ky5tqtewrvh76awdvc0873gz8syxf08cd3jv2a,3780.4252324500003
279,lat1s4asjhcpjn489h8saxv4c8cx358qpszy7q32g8,4.8403186656199005e-05
280,lat1298y7xlmsw79c5j3k4xunfxxq4zsc5nrm2xkdv,3375.42247877
281,lat1q4pvs8k5grl63kra04zcejmcgyrgakva4eud7l,3253.027754268216
282,lat10rrre6ahcjlfpq4x44cpx7ttj82wsgwsuucryl,0.1270007238029049
283,lat1aajewv0gusk2hprpz0r3v8rvhaf026fd3nanmk,1.0511125635144183
284,lat10xvy2wvg8pnkapvd9zs3yuk87rt0ahdstqk6v9,229.33880923183486
285,lat1es5r3ag0fxlslhyhde5qvpetfe4uqsajment7h,1881.0903424500002
286,lat16wykyphuu72ru7cuzjgyqrmkwes0dv4xvv82qz,1293.4321149744158
287,lat1s93rtuxntyvr5heawqs08jz0wltvvvjny4yslg,718.42389849
288,lat1nvn60h7ep0hetdch0j4tw3840yzgmyyqgzq8yu,670.037333640812
289,lat1xh0gd635u6rmgj7yyyhukc3t3jtp9nluuauctm,404.39225486132705
290,lat140f07496hrx8nypwh22hhvc32e8gvxcpp89eys,50.230873198
291,lat1hhqkvvp7m3pw347res3tlmdq6admqldlct668z,0.5840681836903232
292,lat1tn7ymmq63qtlpukaj3ta5eucrchfa6yjclgt35,1.0931695021521155
293,lat155xahdrue6esatrthv20rx27fmxzvftxn2m7yg,0.6250107314681995
294,lat15d2vphae2nw9n46tst6zruvxncual0zgpeefhq,0.44996634779394945
295,lat1llpgvwe95hf7ey678xw4xr4qag5m595ta6nv79,0.42679000000000006
296,lat167uvs5jcyzs5zyh67ar4fgz2dsky8xmmsmc3ur,0.42628245000000003
297,lat18mazm8zjn2295asz29skwhf08aacgymp3sv20x,0.42628245000000003
298,lat1tvumvfqhn5ve768swnm0u36e32z2cxk9szx7wf,0.42628245000000003
299,lat1r5lewy29zy4gp643j85d3zppxnejnwyr96tdzx,0.42582613
300,lat1q97lmk0cuxrys437ehanhlxr5fcd2nnqlh46gj,0.42523245000000004
301,lat12ja45dwp84um92smxujl00w7sq3ppp7a36hqlq,0.42499877
302,lat1gem027jq3xetvwxrdf2lkqxe6805szhxfj9ks3,0.42440101
303,lat1gfqe93qgsq8m4ltq8mtgrfu6l8mndy0784g25g,0.42327989000000005
304,lat1t6m88dsn90w9d6tlxakessjdlp5wsr2e87xkht,0.338179054286434
305,lat1e5w4rt4uh5q5a86uptmtpqk0sjh06ac57qs662,0.10000000016989297
